,XIV,,,,SVXY,ZIV,SVXY + ZIV
2017-03-10,1081299.795244,0.216,None - 0.00,,1067939.456936,359508.667333,562967.353018999
2017-03-13,1081299.795244,0,XIV - 0.55,,1067939.456936,359508.667333,562967.353018999
2017-03-14,1069270.635244,-1.112,XIV - 0.35,,1056854.478343,357992.434225,558707.230481499
2017-03-15,1083807.395244,1.36,None - 0.00,,1069927.414891,359378.436425,563438.236789499
2017-03-16,1083807.395244,0,XIV - 0.55,,1069927.414891,359378.436425,563438.236789499
2017-03-17,1091360.855244,0.697,XIV - 0.55,,1077020.461707,361033.169802,566657.487108999
2017-03-20,1089907.175244,-0.133,XIV - 0.55,,1076608.002957,361201.369802,566657.499018999
2017-03-21,1067673.425244,-2.04,XIV - 0.55,,1054242.372957,358141.039802,558034.659018999
2017-03-22,1064546.785244,-0.293,GLD - 1.00,,1051259.637751,358073.296415,557129.586864999
2017-03-23,1063127.869772,-0.133,GLD - 1.00,,1049858.322719,357596.004483,556387.008300999
2017-03-24,1064813.006379,0.159,GLD - 1.00,,1051522.368993,358162.783432,557268.812223999
2017-03-27,1070754.548643,0.558,GLD - 1.00,,1057390.211477,360161.387466,560378.272941999
2017-03-28,1066409.246379,-0.406,GLD - 1.00,,1053099.298991,358699.723432,558104.192223999
2017-03-29,1068980.975247,0.241,GLD - 1.00,,1055639.127749,359564.796415,559450.086864999
2017-03-30,1061354.486379,-0.713,GLD - 1.00,,1048108.098992,356999.413432,555458.822223999
2017-03-31,1063571.736379,0.209,GLD - 1.00,,1050297.598992,357745.163432,556619.072223999
2017-04-03,1069159.179772,0.525,GLD - 1.00,,1055815.112718,359624.444483,559542.888300999
2017-04-04,1071553.584112,0.224,GLD - 1.00,,1058179.546503,360429.869398,560795.981505999
2017-04-05,1071553.584112,0,GLD - 1.00,,1058179.546503,360429.869398,560795.981505999
2017-04-06,1067651.637508,-0.364,GLD - 1.00,,1054326.440232,359117.780452,558753.927582999
2017-04-07,1070134.66864,0.233,GLD - 1.00,,1056778.671474,359953.017469,560053.402941999
2017-04-10,1070134.66864,0,GLD - 1.00,,1056778.671474,359953.017469,560053.402941999
2017-04-11,1085476.335244,1.434,GLD - 1.00,,1071928.307745,365113.616418,568082.346864999
2017-04-12,1092835.900909,0.678,GLD - 1.00,,1079195.743965,367588.661508,571933.523664999
2017-04-13,1097978.189775,0.471,GLD - 1.00,,1084273.65272,369318.22449,574624.728304999
