Date,Equity,dayProfit%,dayProfit%,,
2010-02-05,831662.138887999,0.297,None - 0.00 - true,,
2010-02-08,826577.986831999,-0.611,None - 0.00 - true,,
2010-02-09,837461.290663999,1.317,None - 0.00 - true,,
2010-02-10,835157.522719999,-0.275,None - 0.00 - true,,
2010-02-11,851124.915055999,1.912,None - 0.00 - true,,
2010-02-12,850409.986831999,-0.084,None - 0.00 - true,,
2010-02-16,870905.522719999,2.41,None - 0.00 - true,,
2010-02-17,867966.218887999,-0.337,None - 0.00 - true,,
2010-02-18,873765.362719999,0.668,None - 0.00 - true,,
2010-02-19,869713.906831999,-0.464,None - 0.00 - true,,
2010-02-22,866536.298887999,-0.365,None - 0.00 - false,,
2010-02-23,866536.298887999,0,XIV - 0.55 - false,,
2010-02-24,876725.178887999,1.176,None - 0.00 - true,,
2010-02-25,884482.854389999,0.885,None - 0.00 - false,,
2010-02-26,884482.854389999,0,XIV - 1.00 - false,,
2010-03-01,901161.654389999,1.886,XIV - 1.00 - false,,
2010-03-02,910889.134389999,1.079,XIV - 0.20 - false,,
2010-03-03,912556.474389999,0.183,XIV - 1.00 - false,,
2010-03-04,913935.754389999,0.151,XIV - 1.00 - false,,
2010-03-05,955313.554389999,4.527,XIV - 1.00 - false,,
2010-03-08,969100.054389999,1.443,XIV - 1.00 - false,,
2010-03-09,966343.134389999,-0.284,XIV - 1.00 - false,,
2010-03-10,960829.134389999,-0.571,XIV - 1.00 - false,,
2010-03-11,952557.654389999,-0.861,XIV - 1.00 - false,,
2010-03-12,960829.854389999,0.868,XIV - 1.00 - false,,
2010-03-15,959451.274389999,-0.143,XIV - 1.00 - false,,
2010-03-16,987023.274389999,2.874,XIV - 1.00 - false,,
2010-03-17,1024234.94439,3.77,XIV - 1.00 - false,,
2010-03-18,1039389.64439,1.48,XIV - 1.00 - false,,
2010-03-19,1018727.14439,-1.988,XIV - 1.00 - false,,
2010-03-22,1032504.94439,1.352,XIV - 1.00 - false,,
2010-03-23,1053168.94439,2.001,XIV - 1.00 - false,,
2010-03-24,1031131.82439,-2.092,XIV - 1.00 - false,,
2010-03-25,1020110.86439,-1.069,XIV - 1.00 - false,,
2010-03-26,1031133.02439,1.08,XIV - 1.00 - false,,
2010-03-29,1051797.32439,2.004,XIV - 1.00 - false,,
2010-03-30,1069702.87439,1.702,XIV - 1.00 - false,,
2010-03-31,1073834.23439,0.386,XIV - 1.00 - false,,
2010-04-01,1077965.41439,0.385,XIV - 1.00 - false,,
2010-04-05,1117898.70439,3.705,XIV - 1.00 - false,,
2010-04-06,1148181.92439,2.709,XIV - 1.00 - false,,
2010-04-07,1127539.67439,-1.798,XIV - 1.00 - false,,
2010-04-08,1146809.27439,1.709,XIV - 1.00 - false,,
2010-04-09,1159194.80439,1.08,XIV - 1.00 - false,,
2010-04-12,1161946.84439,0.237,XIV - 1.00 - false,,
2010-04-13,1156442.92439,-0.474,XIV - 1.00 - false,,
2010-04-14,1182587.87439,2.261,XIV - 1.00 - false,,
2010-04-15,1182587.87439,0,XIV - 1.00 - false,,
2010-04-16,1135812.71439,-3.955,XIV - 1.00 - false,,
2010-04-19,1163339.11439,2.423,XIV - 1.00 - false,,
2010-04-20,1217002.72439,4.613,XIV - 1.00 - false,,
2010-04-21,1211501.24439,-0.452,XIV - 1.00 - false,,
2010-04-22,1214252.12439,0.227,XIV - 1.00 - false,,
2010-04-23,1222504.58439,0.68,XIV - 1.00 - false,,
